index,non-parasite output,parasite output,label
0,7.3099517e-19,1.0,1
1,1.1456882e-15,1.0,1
2,2.2992772e-17,1.0,1
3,7.739957e-19,1.0,1
4,7.5473886e-16,1.0,1
5,1.9461941e-20,1.0,1
6,2.7692698e-18,1.0,1
7,3.0729154e-16,1.0,1
8,6.5652405e-17,1.0,1
9,4.2744497e-12,1.0,1
10,7.310183e-17,1.0,1
11,3.6806135e-19,1.0,1
12,3.7324646e-10,1.0,1
13,2.9830366e-14,1.0,1
14,1.1105508e-12,1.0,1
15,7.020115e-16,1.0,1
16,8.457987e-18,1.0,1
17,9.9001795e-15,1.0,1
18,5.7520173e-21,1.0,1
19,5.697679e-15,1.0,1
20,5.162273e-14,1.0,1
21,4.7590518e-20,1.0,1
22,4.821784e-13,1.0,1
23,8.916648e-14,1.0,1
24,6.123467e-18,1.0,1
25,9.868691e-16,1.0,1
26,1.3809563e-16,1.0,1
27,8.9184124e-15,1.0,1
28,2.2282162e-14,1.0,1
29,7.2665806e-19,1.0,1
30,3.0318234e-17,1.0,1
31,4.2132565e-12,1.0,1
32,9.214279e-12,1.0,1
33,5.4568556e-15,1.0,1
34,1.2489358e-19,1.0,1
35,1.2458833e-15,1.0,1
36,2.8788029e-12,1.0,1
37,2.680719e-13,1.0,1
38,9.656014e-17,1.0,1
39,8.816577e-19,1.0,1
40,3.3690092e-15,1.0,1
41,2.3201836e-11,1.0,1
42,2.7833386e-15,1.0,1
43,5.6307923e-12,1.0,1
44,4.030959e-16,1.0,1
45,8.3257235e-16,1.0,1
46,6.770776e-17,1.0,1
47,2.37753e-15,1.0,1
48,2.393964e-17,1.0,1
49,4.2809775e-12,1.0,1
50,2.1051552e-10,1.0,1
51,4.9556733e-14,1.0,1
52,9.8090566e-15,1.0,1
53,2.9279839e-15,1.0,1
54,2.188928e-17,1.0,1
55,1.2209028e-19,1.0,1
56,3.4191604e-11,1.0,1
57,1.7465411e-13,1.0,1
58,1.8112048e-11,1.0,1
59,1.4363539e-12,1.0,1
60,6.707741e-13,1.0,1
61,2.449143e-12,1.0,1
62,7.329251e-14,1.0,1
63,6.068296e-11,1.0,1
64,1.7612991e-11,1.0,1
65,1.1760685e-13,1.0,1
66,1.8706306e-12,1.0,1
67,1.5475413e-17,1.0,1
68,1.1426465e-14,1.0,1
69,1.3563007e-13,1.0,1
70,6.3501725e-19,1.0,1
71,3.2729378e-15,1.0,1
72,2.2754999e-17,1.0,1
73,5.0848743e-15,1.0,1
74,4.1823034e-12,1.0,1
75,3.5654384e-13,1.0,1
76,5.692196e-18,1.0,1
77,2.8655624e-08,1.0,1
78,1.2272316e-16,1.0,1
79,5.7650776e-17,1.0,1
80,1.2473292e-11,1.0,1
81,1.3405178e-16,1.0,1
82,1.372039e-18,1.0,1
83,2.7058071e-21,1.0,1
84,7.579038e-16,1.0,1
85,1.4162417e-16,1.0,1
86,4.8420666e-14,1.0,1
87,1.5975591e-12,1.0,1
88,6.7857796e-15,1.0,1
89,4.146365e-18,1.0,1
90,1.0674507e-15,1.0,1
91,1.2175113e-13,1.0,1
92,2.3816234e-08,1.0,1
93,9.593315e-15,1.0,1
94,3.3922184e-17,1.0,1
95,2.31724e-13,1.0,1
96,6.047612e-15,1.0,1
97,3.2003036e-16,1.0,1
98,1.7455277e-14,1.0,1
99,1.0286161e-21,1.0,1
100,6.734308e-15,1.0,1
101,1.6236354e-17,1.0,1
102,7.583801e-11,1.0,1
103,2.4439304e-16,1.0,1
104,3.3095657e-12,1.0,1
105,8.6726294e-14,1.0,1
106,1.0205067e-20,1.0,1
107,3.8072164e-16,1.0,1
108,6.2503997e-15,1.0,1
109,4.3796825e-19,1.0,1
110,1.4318384e-15,1.0,1
111,2.0148367e-16,1.0,1
112,2.0920968e-15,1.0,1
113,3.9987313e-18,1.0,1
114,2.2421999e-14,1.0,1
115,1.4424997e-10,1.0,1
116,3.3086047e-13,1.0,1
117,3.5675953e-09,1.0,1
118,3.5754748e-14,1.0,1
119,1.3559246e-11,1.0,1
120,1.2128139e-12,1.0,1
121,9.204287e-15,1.0,1
122,2.1565938e-11,1.0,1
123,2.6665972e-10,1.0,1
124,2.1151755e-15,1.0,1
125,1.09056685e-13,1.0,1
126,3.518153e-12,1.0,1
127,6.665615e-13,1.0,1
128,2.8480723e-15,1.0,1
129,1.1493631e-11,1.0,1
130,2.8708903e-16,1.0,1
131,1.3176488e-14,1.0,1
132,8.8472675e-12,1.0,1
133,4.8815146e-10,1.0,1
134,2.7465692e-16,1.0,1
135,7.889262e-14,1.0,1
136,3.281922e-18,1.0,1
137,2.613082e-13,1.0,1
138,1.0089394e-15,1.0,1
139,4.843752e-16,1.0,1
140,9.438312e-16,1.0,1
141,5.2565305e-12,1.0,1
142,4.2463374e-14,1.0,1
143,6.3617687e-17,1.0,1
144,2.0450774e-14,1.0,1
145,5.7672174e-15,1.0,1
146,4.0157647e-16,1.0,1
147,5.3414136e-17,1.0,1
148,2.393122e-11,1.0,1
149,6.2232603e-13,1.0,1
150,2.4560722e-15,1.0,1
151,5.0508134e-14,1.0,1
152,2.0438685e-14,1.0,1
153,2.8147973e-13,1.0,1
154,1.3184363e-13,1.0,1
155,1.2460624e-10,1.0,1
156,3.274988e-14,1.0,1
157,5.1302736e-14,1.0,1
158,4.9828377e-14,1.0,1
159,4.920749e-10,1.0,1
160,3.339252e-13,1.0,1
161,4.52263e-16,1.0,1
162,2.4551635e-15,1.0,1
163,9.37996e-14,1.0,1
164,6.159109e-11,1.0,1
165,1.2028859e-21,1.0,1
166,2.7200128e-16,1.0,1
167,1.5641915e-14,1.0,1
168,1.2319617e-13,1.0,1
169,7.237022e-15,1.0,1
170,3.0091711e-13,1.0,1
171,8.8672987e-13,1.0,1
172,1.9316195e-09,1.0,1
173,2.4935382e-10,1.0,1
174,3.1824198e-16,1.0,1
175,2.785633e-15,1.0,1
176,1.2792474e-17,1.0,1
177,6.3029497e-13,1.0,1
178,1.4881497e-11,1.0,1
179,1.5104892e-15,1.0,1
180,6.653488e-12,1.0,1
181,1.5366102e-11,1.0,1
182,1.0538728e-10,1.0,1
183,1.9453613e-14,1.0,1
184,7.467086e-13,1.0,1
185,8.9503394e-13,1.0,1
186,2.6582192e-13,1.0,1
187,1.10912515e-10,1.0,1
188,1.0915044e-11,1.0,1
189,7.285484e-11,1.0,1
190,1.4819196e-13,1.0,1
191,1.1833991e-10,1.0,1
192,1.0271234e-11,1.0,1
193,1.2208187e-12,1.0,1
194,1.0224364e-11,1.0,1
195,3.808114e-10,1.0,1
196,2.7874854e-13,1.0,1
197,3.7478174e-17,1.0,1
198,6.8950227e-18,1.0,1
199,1.1395892e-07,0.9999999,1
200,6.273963e-12,1.0,1
201,2.391137e-15,1.0,1
202,1.5137159e-12,1.0,1
203,2.1069758e-13,1.0,1
204,3.8651547e-14,1.0,1
205,3.045008e-13,1.0,1
206,1.8439176e-08,1.0,1
207,1.19129775e-11,1.0,1
208,7.797156e-18,1.0,1
209,1.2922045e-11,1.0,1
210,1.40537955e-11,1.0,1
211,1.1458357e-13,1.0,1
212,3.414424e-14,1.0,1
213,6.0092174e-12,1.0,1
214,2.9016096e-15,1.0,1
215,4.4442156e-16,1.0,1
216,1.3626811e-11,1.0,1
217,1.00101425e-13,1.0,1
218,3.2499427e-17,1.0,1
219,2.3913571e-14,1.0,1
220,7.465389e-21,1.0,1
221,8.262809e-12,1.0,1
222,1.9455013e-15,1.0,1
223,1.2143406e-10,1.0,1
224,5.776316e-13,1.0,1
225,2.7109764e-11,1.0,1
226,1.907874e-13,1.0,1
227,4.4974625e-15,1.0,1
228,2.9126545e-08,1.0,1
229,5.1695254e-14,1.0,1
230,2.0240805e-09,1.0,1
231,6.7387255e-08,0.9999999,1
232,9.781406e-15,1.0,1
233,2.781322e-07,0.99999976,1
234,6.3067897e-12,1.0,1
235,4.802042e-17,1.0,1
236,7.467926e-13,1.0,1
237,3.511245e-10,1.0,1
238,4.4631397e-13,1.0,1
239,3.5357998e-11,1.0,1
240,5.9946237e-15,1.0,1
241,1.5885965e-18,1.0,1
242,5.7038087e-16,1.0,1
243,1.3564335e-08,1.0,1
244,1.0135198e-12,1.0,1
245,6.279758e-12,1.0,1
246,6.741505e-15,1.0,1
247,1.9739612e-15,1.0,1
248,6.044614e-15,1.0,1
249,5.966295e-13,1.0,1
250,3.887079e-16,1.0,1
251,8.856664e-10,1.0,1
252,2.4573985e-11,1.0,1
253,1.1840327e-15,1.0,1
254,1.3766627e-11,1.0,1
255,5.215834e-15,1.0,1
256,1.9103665e-11,1.0,1
257,4.0238367e-13,1.0,1
258,8.437256e-09,1.0,1
259,1.581313e-08,1.0,1
260,2.85355e-17,1.0,1
261,6.094161e-15,1.0,1
262,1.09623355e-16,1.0,1
263,1.307704e-14,1.0,1
264,3.885602e-13,1.0,1
265,1.371297e-09,1.0,1
266,5.9199873e-10,1.0,1
267,5.9456597e-15,1.0,1
268,5.0913482e-11,1.0,1
269,5.1654964e-13,1.0,1
270,1.5482597e-12,1.0,1
271,2.9416587e-19,1.0,1
272,2.1301346e-12,1.0,1
273,5.8545313e-22,1.0,1
274,1.07444696e-11,1.0,1
275,7.1220985e-17,1.0,1
276,3.5353797e-16,1.0,1
277,1.9396602e-13,1.0,1
278,2.67635e-10,1.0,1
279,6.813002e-11,1.0,1
280,2.0743177e-17,1.0,1
281,3.3769075e-16,1.0,1
282,1.3662562e-12,1.0,1
283,3.4260487e-14,1.0,1
284,2.32249e-15,1.0,1
285,2.7472035e-12,1.0,1
286,4.2693716e-13,1.0,1
287,3.5310835e-14,1.0,1
288,2.6783414e-10,1.0,1
289,4.9317113e-11,1.0,1
290,1.1323871e-09,1.0,1
291,5.657223e-11,1.0,1
292,1.2711198e-12,1.0,1
293,2.5148729e-11,1.0,1
294,6.9282917e-12,1.0,1
295,1.7023215e-17,1.0,1
296,7.1719002e-12,1.0,1
297,1.6418481e-12,1.0,1
298,4.830598e-15,1.0,1
299,7.020989e-11,1.0,1
300,2.4742944e-17,1.0,1
301,2.273277e-11,1.0,1
302,6.1781613e-10,1.0,1
303,3.46812e-18,1.0,1
304,2.6459277e-09,1.0,1
305,9.059606e-10,1.0,1
306,4.4465622e-13,1.0,1
307,9.2365805e-14,1.0,1
308,1.16165495e-14,1.0,1
309,6.964173e-11,1.0,1
310,7.4888616e-14,1.0,1
311,1.1934544e-10,1.0,1
312,3.3484665e-10,1.0,1
313,1.1666088e-10,1.0,1
314,1.3936797e-11,1.0,1
315,2.3701288e-10,1.0,1
316,1.7704197e-15,1.0,1
317,4.260781e-13,1.0,1
318,1.0053366e-06,0.99999905,1
319,5.2974573e-11,1.0,1
320,6.8757093e-13,1.0,1
321,1.3346361e-14,1.0,1
322,1.6545227e-09,1.0,1
323,4.5567503e-14,1.0,1
324,7.560089e-14,1.0,1
325,7.46328e-14,1.0,1
326,1.651509e-16,1.0,1
327,7.3671386e-13,1.0,1
328,4.138725e-14,1.0,1
329,7.0900616e-12,1.0,1
330,7.646941e-11,1.0,1
331,3.192593e-11,1.0,1
332,1.627481e-12,1.0,1
333,1.6115535e-13,1.0,1
334,2.8121988e-10,1.0,1
335,1.1492678e-09,1.0,1
336,1.2260316e-12,1.0,1
337,5.8636776e-13,1.0,1
338,2.0855729e-13,1.0,1
339,2.5935249e-08,1.0,1
340,1.3909767e-14,1.0,1
341,1.7486545e-13,1.0,1
342,4.9444576e-10,1.0,1
343,5.013018e-14,1.0,1
344,6.765533e-14,1.0,1
345,2.1785093e-11,1.0,1
346,1.1945502e-13,1.0,1
347,2.545423e-09,1.0,1
348,8.1800444e-08,0.9999999,1
349,1.0178608e-13,1.0,1
350,1.131914e-13,1.0,1
351,3.081682e-10,1.0,1
352,5.986552e-13,1.0,1
353,5.54323e-16,1.0,1
354,2.2496709e-14,1.0,1
355,1.3608654e-15,1.0,1
356,5.293055e-18,1.0,1
357,1.128495e-13,1.0,1
358,1.4810063e-10,1.0,1
359,1.2736882e-11,1.0,1
360,5.074017e-10,1.0,1
361,2.3577697e-14,1.0,1
362,3.8080197e-10,1.0,1
363,1.3797467e-14,1.0,1
364,1.2490307e-12,1.0,1
365,4.2081588e-11,1.0,1
366,2.889319e-13,1.0,1
367,3.41593e-17,1.0,1
368,1.6916775e-11,1.0,1
369,3.67362e-16,1.0,1
370,9.2884216e-07,0.99999905,1
371,1.1435747e-15,1.0,1
372,2.8988468e-13,1.0,1
373,1.5452894e-15,1.0,1
374,1.7046105e-15,1.0,1
375,8.641041e-18,1.0,1
376,6.071146e-14,1.0,1
377,5.09831e-17,1.0,1
378,3.744881e-13,1.0,1
379,1.9822456e-16,1.0,1
380,3.1590822e-12,1.0,1
381,1.8869893e-16,1.0,1
382,7.2986615e-13,1.0,1
383,7.1244734e-14,1.0,1
384,2.6268689e-17,1.0,1
385,3.3831163e-12,1.0,1
386,1.1093733e-09,1.0,1
387,1.6005358e-12,1.0,1
388,3.8732437e-10,1.0,1
389,1.2242371e-12,1.0,1
390,1.1827278e-06,0.9999988,1
391,7.734483e-15,1.0,1
392,1.7162367e-16,1.0,1
393,5.1084728e-09,1.0,1
394,5.984498e-09,1.0,1
395,7.8167177e-19,1.0,1
396,1.6131594e-16,1.0,1
397,2.1896278e-11,1.0,1
398,1.7149222e-15,1.0,1
399,1.0860122e-14,1.0,1
400,1.180408e-13,1.0,1
401,2.2490683e-08,1.0,1
402,1.0886673e-13,1.0,1
403,9.486091e-11,1.0,1
404,1.0929699e-13,1.0,1
405,3.1384406e-08,1.0,1
406,2.2810255e-11,1.0,1
407,1.1042966e-06,0.9999989,1
408,1.2816607e-13,1.0,1
409,2.0484142e-11,1.0,1
410,3.0293024e-10,1.0,1
411,2.0555179e-11,1.0,1
412,3.4848748e-15,1.0,1
413,1.17291e-09,1.0,1
414,1.4950997e-19,1.0,1
415,1.1879656e-13,1.0,1
416,9.5486156e-17,1.0,1
417,1.3577471e-10,1.0,1
418,6.0226764e-16,1.0,1
419,1.0568362e-13,1.0,1
420,1.357896e-12,1.0,1
