index,non-parasite output,parasite output,label
0,1.0,8.998015e-12,0
1,1.0,4.1052526e-12,0
2,1.0,1.4728835e-08,0
3,1.0,8.8872616e-13,0
4,1.0,9.673754e-12,0
5,1.0,8.5905894e-11,0
6,1.0,1.1701248e-11,0
7,1.0,8.199859e-14,0
8,1.0,1.2394289e-12,0
9,1.0,1.3535975e-13,0
10,1.0,8.572073e-12,0
11,1.0,1.0015864e-11,0
12,1.0,8.4658e-14,0
13,1.0,9.542877e-14,0
14,1.0,5.8159106e-11,0
15,1.0,7.1111526e-11,0
16,1.0,2.4735054e-14,0
17,1.0,1.4625498e-13,0
18,1.0,6.029723e-12,0
19,1.0,6.411133e-15,0
20,1.0,4.016416e-12,0
21,1.0,5.385115e-13,0
22,1.0,5.3798383e-13,0
23,1.0,6.042384e-13,0
24,0.9999999,1.548405e-07,0
25,1.0,1.8585246e-12,0
26,1.0,9.481667e-13,0
27,1.0,9.391458e-13,0
28,1.0,5.506578e-09,0
29,1.0,2.9093492e-13,0
30,1.0,7.4180397e-13,0
31,1.0,5.6772716e-12,0
32,1.0,9.0449086e-11,0
33,0.9999989,1.1004237e-06,0
34,1.0,3.5671405e-12,0
35,1.0,4.2950834e-13,0
36,1.0,3.7709067e-13,0
37,1.0,2.7762025e-11,0
38,0.99999976,1.8085709e-07,0
39,1.0,2.213656e-11,0
40,1.0,9.065283e-12,0
41,1.0,3.1796853e-11,0
42,0.99920315,0.0007968373,0
43,1.0,4.7983735e-12,0
44,1.0,8.919374e-13,0
45,1.0,1.7021178e-12,0
46,1.0,1.4996355e-11,0
47,1.0,4.9675646e-12,0
48,1.0,2.8201295e-12,0
49,1.0,1.2455456e-12,0
50,1.0,2.9004492e-14,0
51,1.0,1.7096358e-10,0
52,1.0,2.1095405e-10,0
53,1.0,1.3192406e-14,0
54,1.0,1.1867031e-11,0
55,1.0,4.7802887e-11,0
56,1.0,2.4099496e-12,0
57,1.0,4.7332893e-12,0
58,0.99999917,7.9732416e-07,0
59,1.0,2.9292731e-12,0
60,1.0,3.5137873e-08,0
61,1.0,3.4050315e-11,0
62,1.0,5.0993677e-14,0
63,1.0,9.97525e-13,0
64,1.0,3.6025234e-09,0
65,1.0,6.8291256e-10,0
66,1.0,8.220119e-11,0
67,1.0,1.5703049e-10,0
68,1.0,2.1263189e-12,0
69,1.0,1.5887641e-13,0
70,1.0,1.976512e-11,0
71,1.0,1.1537648e-11,0
72,0.99999976,2.9618315e-07,0
73,1.0,6.1605283e-12,0
74,1.0,3.0062425e-11,0
75,1.0,6.0898014e-12,0
76,1.0,1.0631392e-11,0
77,1.0,4.3581866e-10,0
78,1.0,1.6701867e-08,0
79,1.0,7.209552e-11,0
80,1.0,8.0023976e-10,0
81,1.0,1.6222844e-11,0
82,1.0,3.6383188e-10,0
83,1.0,1.2154476e-11,0
84,1.0,4.940686e-14,0
85,1.0,9.477668e-10,0
86,1.0,5.6229733e-14,0
87,1.0,4.7944437e-14,0
88,0.99999726,2.8013856e-06,0
89,1.0,2.8051476e-11,0
90,1.0,8.613305e-09,0
91,1.0,9.618131e-13,0
92,1.0,2.5524477e-13,0
93,1.0,1.8969529e-12,0
94,1.0,2.396566e-11,0
95,1.0,2.4891653e-11,0
96,1.0,1.1194104e-12,0
97,1.0,1.2477062e-13,0
98,1.0,1.6631952e-09,0
99,1.0,1.877559e-11,0
100,1.0,3.0948294e-10,0
101,1.0,9.240087e-14,0
102,1.0,7.9574997e-13,0
103,1.0,1.1619758e-11,0
104,1.0,4.347207e-12,0
105,1.0,1.2336646e-12,0
106,1.0,1.7473815e-12,0
107,1.0,1.5736922e-11,0
108,1.0,1.0129594e-12,0
109,1.0,9.502212e-10,0
110,1.0,4.5352858e-12,0
111,1.0,8.616257e-14,0
112,1.0,3.1502866e-11,0
113,1.0,1.5893137e-08,0
114,1.0,2.4265498e-12,0
115,1.0,9.7235386e-11,0
116,1.0,2.1465794e-12,0
117,1.0,1.957012e-12,0
118,1.0,1.7179877e-10,0
119,1.0,1.8472932e-12,0
120,0.99999976,2.5153358e-07,0
121,1.0,4.5101805e-13,0
122,1.0,5.2645093e-11,0
123,1.0,2.7668826e-11,0
124,1.0,1.4058828e-12,0
125,1.0,1.4775956e-13,0
126,1.0,3.8517833e-10,0
127,1.0,3.753423e-11,0
128,1.0,1.1003473e-13,0
129,1.0,1.443803e-12,0
130,0.9999999,1.0344194e-07,0
131,1.0,1.1824115e-09,0
132,1.0,1.6192134e-09,0
133,0.99999917,8.9266103e-07,0
134,1.0,9.454832e-13,0
135,1.0,1.3306214e-12,0
136,1.0,2.6953542e-11,0
137,1.0,4.8237163e-13,0
138,1.0,7.824762e-14,0
139,1.0,1.2801796e-10,0
140,1.0,6.984483e-12,0
141,1.0,1.4569814e-13,0
142,1.0,8.7298e-11,0
143,0.99999964,3.7142104e-07,0
144,1.0,1.8213205e-11,0
145,1.0,4.131836e-12,0
146,1.0,4.333033e-09,0
147,1.0,2.1493347e-10,0
148,1.0,5.105707e-09,0
149,1.0,1.917462e-12,0
150,1.0,3.5894294e-13,0
151,1.0,1.4448994e-12,0
152,1.0,9.709962e-13,0
153,1.0,5.3386744e-13,0
154,1.0,4.912227e-09,0
155,1.0,6.0762844e-12,0
156,1.0,4.6981145e-11,0
157,1.0,6.0651315e-09,0
158,1.0,3.140945e-11,0
159,1.0,1.0220463e-11,0
160,0.99999976,2.0318491e-07,0
161,1.0,4.995677e-13,0
162,1.0,7.6656803e-10,0
163,1.0,6.767279e-09,0
164,1.0,1.306572e-14,0
165,0.9999999,1.3498233e-07,0
166,1.0,1.2340048e-10,0
167,1.0,1.993365e-13,0
168,1.0,1.5965089e-11,0
169,1.0,2.6275282e-11,0
170,1.0,1.6770633e-11,0
171,0.9999988,1.2310661e-06,0
172,1.0,5.91226e-13,0
173,0.99999964,3.1924463e-07,0
174,0.99999666,3.3708452e-06,0
175,1.0,3.4182228e-14,0
176,1.0,5.2086672e-11,0
177,1.0,2.2162745e-08,0
178,1.0,1.3506537e-11,0
179,1.0,3.312422e-11,0
180,1.0,3.9641798e-10,0
181,1.0,8.743489e-13,0
182,1.0,1.5645556e-14,0
183,0.9999989,1.0440423e-06,0
184,1.0,5.6843176e-11,0
185,0.999997,2.9597495e-06,0
186,1.0,2.3143052e-11,0
187,1.0,2.331994e-11,0
188,1.0,2.920229e-13,0
189,1.0,1.6113676e-11,0
190,1.0,1.12167105e-13,0
191,1.0,3.733215e-12,0
192,1.0,8.4444726e-12,0
193,1.0,1.7204008e-14,0
194,1.0,2.5297833e-10,0
195,1.0,1.10368485e-10,0
196,1.0,1.2901322e-09,0
197,1.0,2.7907439e-11,0
198,1.0,2.2252656e-13,0
199,1.0,7.644556e-13,0
200,0.9999993,7.097591e-07,0
201,1.0,2.156897e-12,0
202,1.0,5.2268546e-13,0
203,1.0,1.6257893e-13,0
204,1.0,6.392025e-11,0
205,1.0,1.4296519e-12,0
206,1.0,8.3714367e-13,0
207,1.0,7.072966e-11,0
208,1.0,3.423188e-14,0
209,1.0,1.5644769e-08,0
210,1.0,3.2792275e-13,0
211,1.0,5.1391394e-13,0
212,1.0,1.1832105e-12,0
213,1.0,2.6597762e-13,0
214,0.99999964,3.0386167e-07,0
215,0.99999976,2.0684963e-07,0
216,1.0,1.37831265e-11,0
217,1.0,1.3473937e-11,0
218,1.0,1.6343062e-08,0
219,1.0,6.1368853e-12,0
220,1.0,2.1695827e-10,0
221,1.0,3.5217647e-12,0
222,0.99999666,3.397309e-06,0
223,1.0,9.8326416e-11,0
224,1.0,8.778233e-12,0
225,1.0,1.12252195e-11,0
226,1.0,6.6030387e-10,0
227,1.0,7.6984903e-13,0
228,1.0,1.9209213e-12,0
229,1.0,4.5037764e-13,0
230,1.0,2.0458362e-12,0
231,1.0,3.4199594e-13,0
232,1.0,4.4114478e-12,0
233,1.0,1.301322e-10,0
234,1.0,3.424844e-08,0
235,1.0,1.3933573e-12,0
236,1.0,8.095819e-13,0
237,1.0,3.9099444e-12,0
238,1.0,5.041966e-11,0
239,1.0,3.1145232e-11,0
240,1.0,8.9969206e-11,0
241,1.0,1.825293e-10,0
242,1.0,2.3886256e-11,0
243,1.0,1.2208187e-12,0
244,1.0,1.0594894e-11,0
245,1.0,2.4681804e-10,0
246,1.0,2.9924866e-13,0
247,1.0,4.5964644e-08,0
248,1.0,1.2170522e-12,0
249,1.0,1.6844581e-12,0
250,1.0,1.01456725e-10,0
251,1.0,8.090375e-12,0
252,1.0,4.964678e-11,0
253,1.0,1.3944713e-12,0
254,1.0,2.5160172e-13,0
255,1.0,4.237735e-11,0
256,1.0,6.569939e-13,0
257,1.0,2.9156358e-14,0
258,1.0,8.175735e-13,0
259,1.0,2.6797898e-12,0
260,1.0,1.692495e-10,0
261,1.0,6.1662383e-13,0
262,1.0,1.701554e-11,0
263,0.99999905,1.0088623e-06,0
264,1.0,1.7397394e-12,0
265,1.0,3.981802e-12,0
266,1.0,8.032948e-11,0
267,1.0,1.7112732e-14,0
268,1.0,4.358947e-12,0
269,1.0,2.4088101e-12,0
270,1.0,1.973438e-11,0
271,1.0,8.20811e-13,0
272,1.0,4.437446e-13,0
273,1.0,4.155582e-10,0
274,1.0,3.171507e-12,0
275,1.0,7.321672e-12,0
276,1.0,7.611664e-12,0
277,1.0,2.2646982e-12,0
278,1.0,2.5681673e-13,0
279,1.0,6.4989355e-13,0
280,1.0,1.6387689e-09,0
281,1.0,6.9442733e-12,0
282,1.0,2.271265e-12,0
283,1.0,4.7626126e-12,0
284,1.0,2.644923e-13,0
285,1.0,1.8040525e-13,0
286,0.9999999,1.0305419e-07,0
287,1.0,2.9560583e-11,0
288,1.0,3.9166673e-13,0
289,1.0,5.224388e-11,0
290,1.0,1.2789928e-11,0
291,1.0,1.8470035e-13,0
292,1.0,9.8296446e-14,0
293,1.0,1.9804706e-11,0
294,1.0,2.259775e-12,0
295,1.0,8.945377e-12,0
296,1.0,3.6937003e-12,0
297,1.0,3.3810703e-09,0
298,0.99999905,8.9854666e-07,0
299,1.0,3.289062e-13,0
300,1.0,2.726983e-13,0
301,1.0,1.1525106e-12,0
302,1.0,4.976324e-13,0
303,1.0,6.265266e-13,0
304,1.0,2.9054907e-12,0
305,1.0,4.549508e-10,0
306,1.0,6.1137644e-12,0
307,1.0,4.920481e-12,0
308,1.0,3.0315466e-09,0
309,1.0,1.805501e-10,0
310,1.0,1.4378326e-10,0
311,1.0,4.9013235e-13,0
312,1.0,4.053287e-12,0
313,1.0,1.7452582e-10,0
314,1.0,1.3678623e-12,0
315,1.0,2.2248816e-11,0
316,1.0,1.283214e-09,0
317,1.0,7.0822497e-12,0
318,1.0,1.8399756e-08,0
319,1.0,4.847669e-13,0
320,1.0,8.557036e-10,0
321,1.0,7.992318e-13,0
322,1.0,2.2615494e-10,0
323,1.0,5.5954966e-11,0
324,1.0,6.391376e-12,0
325,1.0,6.236197e-10,0
326,1.0,2.8950828e-10,0
327,1.0,8.088133e-13,0
328,1.0,7.306674e-12,0
329,1.0,9.571616e-12,0
330,1.0,2.2954371e-11,0
331,1.0,8.1351207e-13,0
332,1.0,3.750589e-11,0
333,1.0,4.5313822e-10,0
334,1.0,2.468239e-12,0
335,1.0,6.775754e-12,0
336,1.0,1.2494334e-12,0
337,1.0,1.4751396e-10,0
338,1.0,6.9889736e-12,0
339,1.0,6.4485973e-12,0
340,1.0,8.103872e-12,0
341,1.0,4.1377762e-11,0
342,1.0,2.0838505e-10,0
