index,non-parasite output,parasite output,label
0,0.9999995,4.321085e-07,0
1,1.0,4.6779713e-10,0
2,1.0,8.5058637e-13,0
3,1.0,2.7469221e-11,0
4,1.0,6.1639702e-09,0
5,1.0,3.9170136e-08,0
6,1.0,5.318582e-09,0
7,0.99999976,1.831283e-07,0
8,1.0,1.8087015e-08,0
9,1.0,2.373259e-10,0
10,1.0,4.326899e-08,0
11,1.0,2.226121e-11,0
12,1.0,4.755038e-10,0
13,1.0,4.1011912e-08,0
14,1.0,1.6108224e-09,0
15,0.9999999,8.248196e-08,0
16,1.0,8.742931e-11,0
17,0.9999994,5.386345e-07,0
18,0.9999994,5.5535804e-07,0
19,0.9999999,1.618517e-07,0
20,0.9999646,3.5391e-05,0
21,0.9999999,8.525797e-08,0
22,0.9999999,1.1837304e-07,0
23,1.0,6.2445564e-09,0
24,1.0,2.6910126e-08,0
25,0.99999964,3.9137655e-07,0
26,1.0,3.783798e-08,0
27,1.0,3.9106363e-09,0
28,0.99999905,9.33061e-07,0
29,1.0,5.3598896e-08,0
30,1.0,1.2606124e-08,0
31,1.0,4.22558e-11,0
32,1.0,3.8724013e-10,0
33,1.0,2.1070052e-08,0
34,1.0,2.567673e-09,0
35,1.0,2.5442349e-08,0
36,1.0,1.4793477e-08,0
37,1.0,7.787723e-13,0
38,1.0,3.729705e-09,0
39,1.0,5.1429985e-11,0
40,0.9999999,1.1623327e-07,0
41,1.0,2.702765e-09,0
42,1.0,2.5248884e-08,0
43,1.0,5.6495486e-10,0
44,1.0,4.3259025e-11,0
45,0.9999994,6.2294265e-07,0
46,1.0,1.1472573e-09,0
47,1.0,5.303319e-08,0
48,1.0,6.0799574e-09,0
49,0.9999993,7.060608e-07,0
50,1.0,1.7033417e-09,0
51,1.0,5.0247696e-08,0
52,1.0,3.740092e-09,0
53,1.0,3.5526158e-09,0
54,1.0,1.0770251e-09,0
55,1.0,1.1593088e-10,0
56,1.0,6.229567e-09,0
57,1.0,2.2650648e-09,0
58,1.0,1.9370725e-09,0
59,1.0,7.760325e-12,0
60,1.0,1.1257064e-10,0
61,1.0,1.4373501e-10,0
62,0.99999964,3.1552412e-07,0
63,1.0,2.3360663e-08,0
64,1.0,1.9955745e-10,0
65,0.9999999,1.2256746e-07,0
66,0.99999917,8.8541367e-07,0
67,1.0,2.8305613e-09,0
68,1.0,4.9290643e-09,0
69,1.0,2.6502677e-08,0
70,1.0,4.1897907e-09,0
71,1.0,7.9835194e-11,0
72,1.0,4.320621e-09,0
73,1.0,2.1181547e-08,0
74,0.9999999,1.2443257e-07,0
75,1.0,4.743946e-08,0
76,1.0,7.9282844e-11,0
