index,non-parasite output,parasite output,label
0,5.1974874e-13,1.0,1
1,1.00102675e-07,0.9999999,1
2,3.9437293e-09,1.0,1
3,1.2932704e-10,1.0,1
4,1.0622644e-13,1.0,1
5,2.3896287e-06,0.9999976,1
6,8.0053005e-13,1.0,1
7,1.7041481e-16,1.0,1
8,0.00065884594,0.9993412,1
9,1.1021833e-09,1.0,1
10,7.698751e-14,1.0,1
11,1.2228754e-10,1.0,1
12,3.4283474e-08,1.0,1
13,8.673181e-09,1.0,1
14,7.108561e-15,1.0,1
15,1.05097776e-07,0.9999999,1
16,9.529277e-13,1.0,1
17,2.21778e-08,1.0,1
18,1.0069551e-08,1.0,1
19,3.567675e-10,1.0,1
20,6.9465386e-08,0.9999999,1
21,4.0875678e-10,1.0,1
22,1.2290749e-13,1.0,1
23,5.842438e-11,1.0,1
24,3.646016e-10,1.0,1
25,5.136928e-08,1.0,1
26,3.5063163e-08,1.0,1
27,2.801875e-07,0.99999976,1
28,1.1660014e-14,1.0,1
29,4.401232e-14,1.0,1
30,2.5152807e-11,1.0,1
31,5.6835565e-06,0.9999943,1
32,7.476546e-10,1.0,1
33,2.757682e-12,1.0,1
34,6.168906e-10,1.0,1
35,9.207125e-09,1.0,1
36,7.544823e-09,1.0,1
37,6.1879e-11,1.0,1
38,4.01276e-10,1.0,1
39,2.4749625e-07,0.99999976,1
40,0.00018881456,0.99981123,1
41,5.093483e-07,0.9999995,1
42,3.9739154e-10,1.0,1
43,4.4125425e-08,1.0,1
44,2.7787959e-09,1.0,1
45,5.3309336e-12,1.0,1
46,4.163487e-06,0.9999958,1
47,1.8020597e-11,1.0,1
48,5.619557e-09,1.0,1
49,1.8812432e-12,1.0,1
50,3.136926e-12,1.0,1
51,3.9628665e-09,1.0,1
52,1.40336205e-08,1.0,1
53,6.5914304e-07,0.9999993,1
54,2.0089206e-11,1.0,1
55,3.574029e-14,1.0,1
56,2.1183233e-09,1.0,1
57,5.9304237e-12,1.0,1
58,9.3878455e-12,1.0,1
59,5.267683e-05,0.9999473,1
60,7.0537715e-10,1.0,1
61,5.600875e-07,0.9999994,1
62,6.9020703e-06,0.9999931,1
63,5.9597813e-12,1.0,1
64,1.7160211e-08,1.0,1
65,6.9616566e-09,1.0,1
66,1.2339002e-08,1.0,1
67,5.0545217e-11,1.0,1
68,6.582969e-10,1.0,1
69,4.893706e-11,1.0,1
70,1.1826053e-13,1.0,1
71,5.5983468e-11,1.0,1
72,7.299964e-11,1.0,1
73,3.8108208e-08,1.0,1
74,2.0203402e-08,1.0,1
75,2.2805724e-08,1.0,1
76,3.3991776e-07,0.99999964,1
77,1.8732303e-08,1.0,1
78,1.8416935e-11,1.0,1
79,6.4183496e-08,0.9999999,1
80,3.517717e-08,1.0,1
81,1.4490372e-07,0.9999999,1
82,2.7858418e-10,1.0,1
83,2.8276919e-12,1.0,1
84,1.927299e-09,1.0,1
85,6.153071e-08,0.9999999,1
86,4.1095422e-10,1.0,1
87,5.608872e-07,0.9999994,1
88,5.1276495e-15,1.0,1
89,1.6488946e-07,0.9999999,1
90,4.26578e-10,1.0,1
91,1.5313951e-09,1.0,1
92,9.5254926e-14,1.0,1
93,6.69201e-05,0.9999331,1
94,1.0200031e-08,1.0,1
95,2.9609155e-06,0.999997,1
96,0.00011531629,0.9998847,1
97,8.222322e-09,1.0,1
98,2.3008165e-10,1.0,1
99,4.3303853e-06,0.9999957,1
100,3.4630823e-11,1.0,1
101,8.050859e-12,1.0,1
102,6.407833e-11,1.0,1
103,1.7803688e-07,0.9999999,1
104,1.40728e-09,1.0,1
105,1.4176081e-10,1.0,1
106,2.3942815e-07,0.99999976,1
107,2.2681848e-10,1.0,1
108,7.0520883e-07,0.9999993,1
109,1.09841935e-07,0.9999999,1
110,6.2489645e-09,1.0,1
111,4.4733997e-10,1.0,1
112,1.5984645e-08,1.0,1
113,2.5488298e-08,1.0,1
114,1.8906916e-06,0.9999981,1
115,1.8376382e-10,1.0,1
