index,non-parasite output,parasite output,label
0,0.99996734,3.271537e-05,0
1,0.9912984,0.008701565,0
2,0.9999902,9.7660595e-06,0
3,1.0,1.11215135e-08,0
4,1.0,2.501567e-12,0
5,1.0,4.3094786e-12,0
6,1.0,1.744987e-08,0
7,0.99999976,1.8086916e-07,0
8,1.0,3.9686245e-12,0
9,0.9999995,5.026668e-07,0
10,1.0,3.9793613e-10,0
11,1.0,1.38739124e-11,0
12,0.9999999,9.55704e-08,0
13,1.0,3.8867977e-08,0
14,1.0,6.9977035e-10,0
15,1.0,1.1884983e-09,0
16,1.0,7.525504e-10,0
17,1.0,4.935111e-10,0
18,0.99999964,4.092339e-07,0
19,0.9999862,1.377047e-05,0
20,1.0,2.8494443e-13,0
21,1.0,2.042976e-10,0
22,0.99999845,1.588984e-06,0
23,0.9999958,4.2063384e-06,0
24,0.99999964,3.8648352e-07,0
25,0.9995271,0.00047289502,0
26,0.9999976,2.4022047e-06,0
27,0.9999993,7.189828e-07,0
28,1.0,1.6960463e-14,0
29,1.0,1.1375901e-11,0
30,1.0,2.5335955e-12,0
31,1.0,1.6779089e-10,0
32,1.0,1.223202e-10,0
33,1.0,1.77306e-10,0
34,1.0,4.874848e-12,0
35,0.99999857,1.460312e-06,0
36,1.0,2.560197e-08,0
37,1.0,4.028869e-12,0
38,0.99999964,3.7820524e-07,0
39,1.0,1.642372e-11,0
40,0.9999993,7.1238685e-07,0
41,1.0,2.2472072e-12,0
42,1.0,7.052672e-09,0
43,1.0,3.8589715e-08,0
44,0.9999999,1.2450569e-07,0
45,1.0,1.186813e-09,0
46,0.99999225,7.783933e-06,0
47,1.0,3.6045112e-08,0
48,0.99999976,2.3501089e-07,0
49,1.0,5.6725533e-08,0
50,1.0,5.1583217e-12,0
51,1.0,5.9928695e-13,0
52,1.0,2.4291502e-10,0
53,1.0,2.6272253e-09,0
54,0.9999994,5.882899e-07,0
55,0.99999595,4.042339e-06,0
56,0.99999905,1.0025341e-06,0
57,0.9999999,6.664665e-08,0
58,1.0,7.112462e-09,0
59,1.0,5.023126e-10,0
60,0.99999416,5.7954994e-06,0
61,0.9999908,9.228371e-06,0
62,0.9999964,3.5409087e-06,0
63,0.9999993,7.1432027e-07,0
64,1.0,7.080383e-09,0
65,1.0,1.176606e-11,0
66,0.99994934,5.0706287e-05,0
67,1.0,1.3988102e-09,0
68,1.0,5.7645103e-08,0
69,1.0,3.4704087e-11,0
70,0.9999938,6.2444915e-06,0
71,0.9999988,1.1768286e-06,0
72,1.0,1.711219e-20,0
73,0.9999999,1.4290421e-07,0
74,1.0,1.6844615e-08,0
75,1.0,4.53027e-09,0
76,1.0,1.6056384e-09,0
77,1.0,3.3176684e-12,0
78,1.0,2.8402862e-12,0
79,0.9999999,7.551767e-08,0
80,1.0,2.8639164e-09,0
81,1.0,8.5367896e-10,0
82,1.0,1.0995006e-08,0
83,0.9999901,9.898258e-06,0
84,0.9999999,1.6876218e-07,0
85,1.0,7.132047e-10,0
86,0.9999987,1.2670253e-06,0
87,0.9999999,9.9407444e-08,0
88,1.0,2.4127222e-09,0
89,1.0,1.1496432e-12,0
90,1.0,5.3599863e-10,0
91,1.0,2.8731778e-10,0
92,1.0,1.252824e-09,0
93,0.99997485,2.5187033e-05,0
94,0.9999976,2.3435073e-06,0
95,1.0,1.07202386e-10,0
96,1.0,2.103548e-08,0
97,1.0,4.0284924e-12,0
98,1.0,2.2563975e-09,0
99,0.9999999,9.362113e-08,0
100,1.0,3.9045116e-08,0
101,1.0,1.015528e-09,0
102,1.0,4.144397e-14,0
103,0.9999989,1.0634967e-06,0
104,1.0,5.1338735e-15,0
105,1.0,3.9911813e-10,0
106,1.0,5.1055668e-18,0
107,1.0,1.7887336e-09,0
108,1.0,2.268238e-09,0
109,0.99999976,1.8739955e-07,0
110,1.0,4.850217e-11,0
111,0.99999976,1.7965341e-07,0
112,0.9999999,1.6499075e-07,0
113,0.99998987,1.0092615e-05,0
114,1.0,2.2766888e-10,0
115,1.0,5.88596e-11,0
116,1.0,2.4769475e-10,0
117,0.9999994,6.40937e-07,0
118,1.0,8.395632e-09,0
119,0.9999999,1.1569799e-07,0
120,1.0,9.575936e-10,0
121,1.0,5.077333e-08,0
122,1.0,1.7261472e-09,0
123,0.99999726,2.7871738e-06,0
124,1.0,1.2167598e-12,0
125,1.0,3.195635e-10,0
126,1.0,4.371893e-09,0
127,1.0,2.193869e-09,0
128,0.9999976,2.3535051e-06,0
129,1.0,6.8293375e-09,0
130,1.0,4.769547e-09,0
131,0.9999956,4.447059e-06,0
132,1.0,5.1175403e-10,0
133,0.99999976,2.4818263e-07,0
