index,non-parasite output,parasite output,label
0,1.9578306e-11,1.0,1
1,8.405525e-11,1.0,1
2,1.184116e-12,1.0,1
3,1.1330622e-11,1.0,1
4,1.386516e-14,1.0,1
5,1.268996e-11,1.0,1
6,1.9746789e-09,1.0,1
7,4.613757e-09,1.0,1
8,1.4910356e-12,1.0,1
9,2.3756256e-08,1.0,1
10,1.5245463e-09,1.0,1
11,1.9682975e-09,1.0,1
12,1.4004602e-06,0.99999857,1
13,9.170284e-09,1.0,1
14,5.225589e-09,1.0,1
15,1.7122904e-12,1.0,1
16,1.1738282e-08,1.0,1
17,1.4671055e-07,0.9999999,1
18,5.0170957e-13,1.0,1
19,7.8205976e-11,1.0,1
20,7.8506107e-10,1.0,1
21,5.5531624e-10,1.0,1
22,3.2267322e-09,1.0,1
23,4.2261505e-08,1.0,1
24,2.0153408e-08,1.0,1
25,1.5846145e-10,1.0,1
26,8.5176495e-13,1.0,1
27,3.5772114e-08,1.0,1
28,1.3755325e-05,0.9999863,1
29,1.3778816e-11,1.0,1
30,3.7257806e-09,1.0,1
31,1.706566e-07,0.9999999,1
32,2.6346042e-11,1.0,1
33,4.5120432e-06,0.99999547,1
34,6.3921563e-12,1.0,1
35,6.901258e-11,1.0,1
36,2.2489399e-08,1.0,1
37,5.128128e-07,0.9999995,1
38,6.932317e-10,1.0,1
39,5.3820577e-07,0.9999994,1
40,3.2672543e-12,1.0,1
41,1.2950088e-09,1.0,1
42,3.351479e-08,1.0,1
43,8.551616e-11,1.0,1
44,3.1376238e-10,1.0,1
45,8.8169033e-10,1.0,1
46,0.00025983568,0.9997402,1
47,2.227073e-06,0.99999774,1
48,7.0607908e-12,1.0,1
49,7.667356e-06,0.9999924,1
50,1.01971525e-08,1.0,1
51,2.1094902e-08,1.0,1
52,6.3059535e-10,1.0,1
53,4.967376e-08,1.0,1
54,1.0814658e-12,1.0,1
55,1.1275018e-08,1.0,1
56,2.31578e-11,1.0,1
57,2.7045454e-08,1.0,1
58,1.7168705e-10,1.0,1
59,5.8456912e-08,1.0,1
60,8.884233e-12,1.0,1
61,6.4164673e-15,1.0,1
